latitude,longitude,date
25.671176,-100.396215,2025-01-01
25.683424,-100.41742,2025-01-01
25.64766,-100.332841,2025-01-01
25.661059,-100.410031,2025-01-01
25.675487,-100.417683,2025-01-01
25.652611,-100.357761,2025-01-02
25.656767,-100.394796,2025-01-02
25.647664,-100.398889,2025-01-02
25.657729,-100.411458,2025-01-02
25.660105,-100.396384,2025-01-02
25.654705,-100.362218,2025-01-03
25.641176,-100.3693,2025-01-03
25.642853,-100.319077,2025-01-03
25.656115,-100.384903,2025-01-03
25.674446,-100.402873,2025-01-03
25.663301,-100.403139,2025-01-03
25.661299,-100.399941,2025-01-03
25.65978,-100.395496,2025-01-03
25.657823,-100.38431,2025-01-03
25.647419,-100.323807,2025-01-03
25.644121,-100.321978,2025-01-03
25.66162,-100.40084,2025-01-03
25.654162,-100.33758,2025-01-03
25.665067,-100.381066,2025-01-04
25.667702,-100.367986,2025-01-04
25.655227,-100.385241,2025-01-04
25.652797,-100.396652,2025-01-04
25.646528,-100.325734,2025-01-04
25.653323,-100.346212,2025-01-05
25.659329,-100.36497,2025-01-05
25.659411,-100.369298,2025-01-05
25.655052,-100.357328,2025-01-05
25.657452,-100.371759,2025-01-05
25.643063,-100.319429,2025-01-05
25.638347,-100.337941,2025-01-05
25.65978,-100.395496,2025-01-05
25.658317,-100.353992,2025-01-06
25.645932,-100.324826,2025-01-06
25.662956,-100.41327,2025-01-06
25.66022,-100.381333,2025-01-06
25.66492,-100.402434,2025-01-06
25.641416,-100.317706,2025-01-06
25.653176,-100.358241,2025-01-06
25.666796,-100.408213,2025-01-06
25.647304,-100.323851,2025-01-06
25.654439,-100.357502,2025-01-06
25.652778,-100.379243,2025-01-06
25.648437,-100.352726,2025-01-06
25.641416,-100.317706,2025-01-06
25.657621,-100.370805,2025-01-06
25.652551,-100.352801,2025-01-07
25.667725,-100.38034,2025-01-07
25.652198,-100.377897,2025-01-07
25.640655,-100.387195,2025-01-07
25.66104,-100.355554,2025-01-07
25.666796,-100.408213,2025-01-07
25.666796,-100.408213,2025-01-07
25.661162,-100.382881,2025-01-07
25.674828,-100.407113,2025-01-07
25.674655,-100.420171,2025-01-07
25.675487,-100.417683,2025-01-07
25.657925,-100.352673,2025-01-07
25.654201,-100.337603,2025-01-07
25.668732,-100.384982,2025-01-07
25.641289,-100.317505,2025-01-07
25.653928,-100.400231,2025-01-07
25.643063,-100.319429,2025-01-08
25.651837,-100.333812,2025-01-08
25.64336,-100.327076,2025-01-08
25.643025,-100.320261,2025-01-08
25.645932,-100.324826,2025-01-08
25.659422,-100.376875,2025-01-08
25.664008,-100.413233,2025-01-08
25.659422,-100.376875,2025-01-08
25.656712,-100.384797,2025-01-08
25.674446,-100.402873,2025-01-08
25.667702,-100.367986,2025-01-08
25.654437,-100.357501,2025-01-08
25.65932,-100.344798,2025-01-08
25.674446,-100.402873,2025-01-08
25.662972,-100.354891,2025-01-08
25.674446,-100.402873,2025-01-08
25.641289,-100.317505,2025-01-08
25.643347,-100.327177,2025-01-08
25.647869,-100.326977,2025-01-08
25.660042,-100.379026,2025-01-08
25.668544,-100.365513,2025-01-08
25.642346,-100.35284,2025-01-08
25.620797,-100.365188,2025-01-08
25.646117,-100.385177,2025-01-08
25.648077,-100.327329,2025-01-08
25.653562,-100.396291,2025-01-08
25.638863,-100.355197,2025-01-08
25.648432,-100.352729,2025-01-08
25.680864,-100.416718,2025-01-08
25.638654,-100.338946,2025-01-08
25.640275,-100.382141,2025-01-08
25.674446,-100.402873,2025-01-09
25.659422,-100.376875,2025-01-09
25.623659,-100.360394,2025-01-09
25.660092,-100.34688,2025-01-09
25.641416,-100.317706,2025-01-09
25.657854,-100.384404,2025-01-09
25.651837,-100.333812,2025-01-09
25.655214,-100.385235,2025-01-09
25.656452,-100.388207,2025-01-09
25.659422,-100.376875,2025-01-09
25.659481,-100.394611,2025-01-09
25.65932,-100.344798,2025-01-09
25.653275,-100.352757,2025-01-09
25.656469,-100.360049,2025-01-09
25.651837,-100.333812,2025-01-09
25.675487,-100.417683,2025-01-09
25.647869,-100.326977,2025-01-10
25.656276,-100.366061,2025-01-10
25.661031,-100.355562,2025-01-10
25.666015,-100.412674,2025-01-10
25.670393,-100.402083,2025-01-10
25.651431,-100.334035,2025-01-10
25.657332,-100.369671,2025-01-10
25.66102,-100.355562,2025-01-10
25.651517,-100.371244,2025-01-10
25.653274,-100.352761,2025-01-10
25.666796,-100.408213,2025-01-10
25.663453,-100.355324,2025-01-10
25.655865,-100.366204,2025-01-10
25.652423,-100.380164,2025-01-10
25.657024,-100.35986,2025-01-10
25.65963,-100.379181,2025-01-10
25.656726,-100.370268,2025-01-10
25.655227,-100.385241,2025-01-10
25.651837,-100.333812,2025-01-10
25.655227,-100.385241,2025-01-10
25.631886,-100.336706,2025-01-11
25.653783,-100.359324,2025-01-11
25.679347,-100.403837,2025-01-11
25.651459,-100.372219,2025-01-11
25.685053,-100.409002,2025-01-11
25.660991,-100.399044,2025-01-11
25.652378,-100.395762,2025-01-11
25.653677,-100.341885,2025-01-11
25.643968,-100.321723,2025-01-11
25.655865,-100.366204,2025-01-12
25.641416,-100.317706,2025-01-11
25.660092,-100.34688,2025-01-11
25.658674,-100.411039,2025-01-11
25.65932,-100.344798,2025-01-11
25.674654,-100.420165,2025-01-11
25.686644,-100.412708,2025-01-11
25.660051,-100.379026,2025-01-12
25.650154,-100.387285,2025-01-12
25.678553,-100.400135,2025-01-12
25.666796,-100.408213,2025-01-12
25.67917,-100.408276,2025-01-12
25.683249,-100.415778,2025-01-12
25.653677,-100.341885,2025-01-12
25.675487,-100.417683,2025-01-12
25.666796,-100.408213,2025-01-13
25.666015,-100.412674,2025-01-13
25.665423,-100.411826,2025-01-13
25.667276,-100.407916,2025-01-13
25.665423,-100.411826,2025-01-13
25.65612,-100.384898,2025-01-13
25.658614,-100.400128,2025-01-13
25.64857,-100.334595,2025-01-13
25.647869,-100.326977,2025-01-13
25.651837,-100.333812,2025-01-13
25.647869,-100.326977,2025-01-13
25.653677,-100.341885,2025-01-13
25.635396,-100.356395,2025-01-13
25.653274,-100.352761,2025-01-13
25.637046,-100.337648,2025-01-13
25.666796,-100.408213,2025-01-13
25.658293,-100.374553,2025-01-13
25.659922,-100.40265,2025-01-13
25.671116,-100.397871,2025-01-13
25.65837,-100.413168,2025-01-13
25.652165,-100.334433,2025-01-13
25.656218,-100.356991,2025-01-13
25.670393,-100.402083,2025-01-13
25.650214,-100.35868,2025-01-13
25.650214,-100.35868,2025-01-13
25.65963,-100.379181,2025-01-13
25.636349,-100.355064,2025-01-13
25.660046,-100.379026,2025-01-13
25.646528,-100.325734,2025-01-14
25.666015,-100.412674,2025-01-14
25.667725,-100.38034,2025-01-14
25.638537,-100.337857,2025-01-14
25.668432,-100.405503,2025-01-14
25.656035,-100.406469,2025-01-14
25.645932,-100.324826,2025-01-14
25.637917,-100.334419,2025-01-14
25.675487,-100.417683,2025-01-14
25.666796,-100.408213,2025-01-14
25.65296,-100.358315,2025-01-14
25.644097,-100.368371,2025-01-14
25.648446,-100.352828,2025-01-14
25.651513,-100.371241,2025-01-14
25.651514,-100.371242,2025-01-14
25.652595,-100.371826,2025-01-14
25.647135,-100.339367,2025-01-14
25.657211,-100.398735,2025-01-14
25.656705,-100.369041,2025-01-14
25.674444,-100.403071,2025-01-14
25.663302,-100.403142,2025-01-14
25.66129,-100.408052,2025-01-14
25.655463,-100.363222,2025-01-15
25.639791,-100.319955,2025-01-15
25.645932,-100.324826,2025-01-15
25.655227,-100.385241,2025-01-15
25.657188,-100.38968,2025-01-15
25.648797,-100.329582,2025-01-15
25.674654,-100.420165,2025-01-15
25.653677,-100.341885,2025-01-15
25.659417,-100.376877,2025-01-15
25.661276,-100.364278,2025-01-15
25.657128,-100.368876,2025-01-15
25.638347,-100.337945,2025-01-15
25.637528,-100.37772,2025-01-15
25.656705,-100.369041,2025-01-15
25.655865,-100.366204,2025-01-15
25.657312,-100.409955,2025-01-15
25.637917,-100.334419,2025-01-15
